tuId	tuName	operonName	tuGenes	pmName	tuEvidence	addEvidence	confidenceLevel	pmids
RDBECOLITUC00166	ecpA	ecpA	ecpA;	ecpAp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00167	ecpR	ecpR	matA;	ecpRp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00168	ykgMO	ykgMO	ykgM;ykgO;	ykgMp	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S][COMP-AINF:W]		STRONG	
RDBECOLITUC00169	eaeH-insE1EF1F1	eaeH-insE1EF1F1	insF1;insE1;insEF1;eaeH;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00170	ykgA	ykgA	ykgA;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00171	rclBC	rclABC	rclB;rclC;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00172	rclABC	rclABC	rclC;rclB;rclA;	rclAp	[EXP-IEP-COREGULATION:W][IC-ADJ-GENES-SAME-BIO-PROCESS:W]		WEAK	
RDBECOLITUC00173	rclR	rclR	rclR;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00174	ykgEFG	ykgEFG	ykgG;ykgF;ykgE;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00175	ykgH	ykgH	ykgH;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00176	pdeL	pdeL	pdeL;	pdeLp1	[EXP-IDA-BOUNDARIES-DEFINED:W][COMP-AINF:W]		WEAK	
RDBECOLITUC00177	yahB	yahB	yahB;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00178	yahC	yahC	yahC;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00179	yahDEFG	yahDEFG	yahG;yahF;yahE;yahD;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00180	yahH	yahH	yahH;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00181	yahIJ	yahIJ	yahJ;yahI;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00182	yahK	yahK	yahK;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00183	yahL	yahL	yahL;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00184	yahM	yahM	yahM;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00185	mhpT	mhpT	mhpT;	mhpTp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00186	yaiL	yaiL	yaiL;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00187	frmRAB	frmRAB	frmR;frmA;frmB;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00188	yaiO	yaiO	yaiO;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00189	insC1CD1D1	insC1CD1D1	insD1;insC1;insCD1;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00190	yaiX	yaiX	yaiX;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00191	yaiP	yaiP	yaiP;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00192	hemB	hemB	hemB;	hemBp	[EXP-IDA-BOUNDARIES-DEFINED:W][COMP-AINF:W]		WEAK	
RDBECOLITUC00193	insE2F2EF2	insE2F2EF2	insE2;insF2;insEF2;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00194	iprA	iprA	iprA;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00195	iraP	iraP	iraP;	iraPp1	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S][COMP-AINF:W]		STRONG	
RDBECOLITUC00196	yaiI	yaiI	yaiI;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00197	ppnP	ppnP	ppnP;	ppnPp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00198	ykiA	ykiA	ykiA;	ykiAp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00199	sbcDC	sbcDC	sbcD;sbcC;	sbcDp	[IC-ADJ-GENES-SAME-BIO-PROCESS:W][COMP-AINF:W]		WEAK	
RDBECOLITUC00200	brnQ-proY	brnQ-proY	proY;brnQ;	brnQp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00201	yajD	yajD	yajD;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00202	yajI	yajI	yajI;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00203	nrdR-ribDE-nusB-thiL-pgpA	nrdR-ribDE-nusB-thiL-pgpA	pgpA;thiL;nusB;ribE;ribD;nrdR;	nrdRp	[EXP-IMP-POLAR-MUTATION:S][IC-ADJ-GENES-SAME-BIO-PROCESS:W][COMP-AINF:W]		STRONG	
RDBECOLITUC00204	panE-yajL	panE-yajL	panE;yajL;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00205	yajR	yajR	yajR;	yajRp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00206	ampG	yajG-ampG	ampG;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00207	yajG	yajG-ampG	yajG;	yajGp	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S][COMP-AINF:W]		STRONG	
RDBECOLITUC00208	tig	tig	tig;	tigp1	[COMP-AINF:W]		WEAK	
RDBECOLITUC00209	ybaV	ybaV	ybaV;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00210	fadM	fadM	fadM;	fadMp1	[COMP-AINF:W]		WEAK	
RDBECOLITUC00211	queC	queC	queC;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00212	ybaE	ybaE	ybaE;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00213	cof	cof	cof;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00214	decR	decR	decR;	decRp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00215	mdlAB	mdlAB	mdlB;mdlA;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00216	ffs	ffs	ffs;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00217	ybaA	ybaA	ybaA;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00218	pdeB	pdeB	pdeB;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00219	ylaC	ylaC	ylaC;	ylaCp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00220	maa	maa	maa;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00221	tomB-hha	tomB-hha	tomB;hha;	tomBp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00222	mscK	mscK	mscK;	mscKp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00223	priC-ybaM	priC-ybaM	priC;ybaM;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00224	ybaN	ybaN	ybaN;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00225	apt	apt	apt;	aptp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00226	dnaX	dnaX	dnaX;	dnaXp	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S][COMP-AINF:W]		STRONG	
RDBECOLITUC00227	hemH	hemH	hemH;	hemHp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00228	ybaL	ybaL	ybaL;	ybaLp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00229	fsr	fsr	fsr;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00230	cueR	cueR	cueR;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00231	qmcA-ybbJ	qmcA-ybbJ	qmcA;ybbJ;	qmcAp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00232	fetAB	fetAB	fetB;fetA;	fetAp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00233	ybbAP	ybbAP	ybbP;ybbA;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00234	rhsD-ybbC-ylbH-ybbD	rhsD-ybbC-ylbH-ybbD	ybbD;ylbH;ybbC;rhsD;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00235	ylbG	ylbG	ylbG;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00236	fdrA-ylbEF-ybcF	fdrA-ylbEF-ybcF	ybcF;ylbF;ylbE;fdrA;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00237	ppiB-lpxH	ppiB-lpxH	ppiB;lpxH;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00238	ybcI	ybcI	ybcI;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00239	folD-ybcJ	folD-ybcJ	folD;ybcJ;	folDp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00240	sfmA	sfmAC	sfmA;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00241	sfmCD	sfmAC	sfmD;sfmC;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00242	sfmHF	sfmHF	sfmF;sfmH;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00243	exoD	exoD	exoD;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00244	peaD	peaD	peaD;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00245	insE3EF3F3	insE3EF3F3	insF3;insE3;insEF3;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00246	ybcK	ybcK	ybcK;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00247	ybcLM	ybcLM	ybcM;ybcL;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00248	ybcN-ninE-ybcO-rusA-ylcG	ybcN-ninE-ybcO-rusA-ylcG	ylcG;rusA;ybcO;ninE;ybcN;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00249	ybcQ	ybcQ	quuD;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00250	rzoD	rzoD	rzoD;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00251	ybcV	ybcV	ybcV;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00252	ybcW	ybcW	ybcW;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00253	nohD	nohD	nohD;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00254	tfaD	tfaD	tfaD;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00255	tfaX	tfaX	tfaX;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00256	ybdG	ybdG	ybdG;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00257	ybdF	ybdF	ybdF;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00258	ybdJ	ybdJ	ybdJ;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00259	ybdK	ybdK	ybdK;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00260	insL2	insL2	insL2;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00261	ybdD	ybdD	ybdD;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00262	ybdM	citR-ybdNM	ybdM;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00263	ybdN	citR-ybdNM	ybdN;	ybdNp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00264	ybdO	citR-ybdNM	citR;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00265		dsbG	dsbG;	dsbGp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00266	rnk	rnk	rnk;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00267	rna	rna	rna;	rnap	[COMP-AINF:W]		WEAK	
RDBECOLITUC00268	citT	citT	citT;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00269	citCDEFXG	citCDEFXG	citC;citD;citE;citF;citX;citG;	citCp1	[COMP-AINF:W][IC-ADJ-GENES-SAME-BIO-PROCESS:W]		WEAK	
RDBECOLITUC00270	dpiBA	dpiBA	dpiA;dpiB;	dpiBp1	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S][IC-ADJ-GENES-SAME-BIO-PROCESS:W][COMP-AINF:W]		STRONG	
RDBECOLITUC00271	cspE	cspE	cspE;	cspEp2	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S][COMP-AINF:W]		STRONG	
RDBECOLITUC00272	ybeM	ybeM	ybeM;		[EXP-IEP-COREGULATION:W][COMP-AINF:W]		WEAK	
RDBECOLITUC00273	tatE	tatE	tatE;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00274	lipA	lipA	lipA;	lipAp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00275	ybeF	ybeF	ybeF;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00276	lipB	ybeD-lipB	lipB;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00277	ybeD	ybeD-lipB	ybeD;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00278	dacA	dacA	dacA;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00279	rsfS-rlmH-mrdAB-rlpA	rsfS-rlmH-mrdAB-rlpA	rsfS;rlmH;mrdA;mrdB;rlpA;	rsfSp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00280	leuS-lptE-holA-nadD-cobC	leuS-lptE-holA-nadD-cobC	leuS;lptE;holA;nadD;cobC;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00281	ybeR-djlB	ybeR-djlB	djlB;ybeR;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00282	ybeU-djlC	ybeU-djlC	djlC;ybeU;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00283	hscC	hscC	hscC;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00284	rihA	rihA	rihA;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00285	insH3	insH3	insH3;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00286	ybeX-lnt	ybeZYX-lnt	ybeX;lnt;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00287	ybeZY	ybeZYX-lnt	ybeZ;ybeY;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00288	miaB	miaB	miaB;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00289	chiZPQ	chiZPQ	chiZ;chiQ;chiP;	chiZp	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S]		STRONG	
RDBECOLITUC00290	chiQ	chiZPQ	chiQ;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00291	ybfF	ybfF	ybfF;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00292	ybfP	ybfP	ybfP;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00293	ybfA	ybfA	ybfA;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00294	rhsC-ybfB	rhsC-ybfB	ybfB;rhsC;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00295	ybfOC	ybfOC	ybfC;ybfO;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00296	ybfQ	ybfQ	ybfQ;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00297	ybfL	ybfL	ybfL;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00298	ybfD	ybfD	ybfD;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00299	abrB	abrB	abrB;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00300	ybgQPO	ybgQPO	ybgQ;ybgP;ybgO;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00301	ybgD	ybgD	ybgD;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00302	valZ-lysY	valZ-lysY	lysY;valZ;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00303	lysZ	lysZ	lysZ;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00304	lysQ	lysQ	lysQ;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00305		nadA-pnuC	pnuC;nadA;	nadAp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00306	zitB	zitB	zitB;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00307	ybgS	ybgS	ybgS;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00308	modEF	modEF	modE;modF;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00309	acrZ	acrZ	acrZ;	acrZp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00310	ybhH	ybhH	ybhH;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00311	ybhI	ybhI	ybhI;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00312	ybhJ	ybhJ	ybhJ;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00313	ybhC	ybhC	ybhC;	ybhCp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00314	ybhB	ybhB	ybhB;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00315	ybhL	ybhL	ybhL;	ybhLp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00316	ybhM	ybhM	ybhM;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00317	ybhP-clsB-ybhN	ybhP-clsB-ybhN	ybhP;clsB;ybhN;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00318	cecR-ybhGFSR	cecR-ybhGFSR	cecR;ybhG;ybhF;ybhS;ybhR;	cecRp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00319	hcxB	hcxB	hcxB;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00320	ybiJ	ybiJ	ybiJ;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00321	ybiI	ybiI	ybiI;	ybiIp6	[COMP-AINF:W]		WEAK	
RDBECOLITUC00322	ybiX	ybiX	ybiX;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00323	mcbA	mcbA	mcbA;	mcbAp5	[COMP-AINF:W]		WEAK	
RDBECOLITUC00324	ybiO	ybiO	ybiO;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00325	rhtA	rhtA	rhtA;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00326	mntR-ybiR	mntR-ybiR	ybiR;mntR;	mntRp	[COMP-AINF:W]		WEAK	
RDBECOLITUC00327	ybiU	ybiU	ybiU;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00328	ybiV	ybiV	ybiV;		[COMP-AINF:W]		WEAK	
RDBECOLITUC00329	ybiYW	ybiYW	ybiY;ybiW;		[COMP-AINF:W]		WEAK	
