evidence_code	evidence_name	evidence_group	confidence_level	object_type	evidence_category
COMP-AINF-POSITIONAL-IDENTIFICATION	Automated inference of promoter position	7	WEAK	Promoter	non-experimental 
ND	No biological data available		WEAK	Transcription Units	non-experimental 
EXP	Inferred from experiment		WEAK	Transcription Units;Regulatory Interactions;Transcription Factors	 
AS	Author statement		WEAK	Regulatory Interactions	non-experimental 
IC	Inferred by curator		WEAK	Promoter;Transcription Units;Regulatory Interactions	non-experimental 
COMP	Inferred by computational analysis	7	WEAK	Promoter;Regulatory Interactions;Transcription Factors	non-experimental 
EXP-CHIP-SEQ-MANUAL	ChIP-seq evidence used in manual assertion	4	WEAK	Regulatory Interactions	High-throughput binding 
EXP-HTP-HDA-NUC-ACID-BINDING-GSELEX-CHIP	High-throughput genomic SELEX-chip evidence	5	WEAK	Regulatory Interactions	High-throughput binding 
COMP-HINF-ISM	Inferred from Sequence Model		WEAK	Transcription Factors	non-experimental 
COMP-HINF-ISA	Inferred from Sequence Alignment		WEAK	Regulatory Interactions;Transcription Factors	non-experimental 
COMP-HINF-PATTERN-DISCOVERY	Manually curated inference based on sequence pattern discovery	7	WEAK	Regulatory Interactions	non-experimental 
COMP-HINF-POSITIONAL-IDENTIFICATION	Human inference of promoter position	7	WEAK	Promoter	non-experimental 
COMP-HINF-SIMILAR-TO-CONSENSUS	A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.	7	WEAK	Regulatory Interactions	non-experimental 
COMP-HINF-FN-FROM-SEQ	Human inference of function from sequence		WEAK	Regulatory Interactions;Transcription Factors	non-experimental 
COMP-HINF-IGC	Inferred from genomic context		WEAK	Transcription Units	non-experimental 
COMP-IBA	Inferred from Biological aspect from Ancestor		WEAK	Transcription Units;Regulatory Interactions	non-experimental 
COMP-AINF	Inferred computationally without human oversight	7	WEAK	Promoter;Transcription Units;Regulatory Interactions;Transcription Factors	non-experimental 
COMP-HINF	Inferred by a human based on computational evidence	7	WEAK	Promoter;Transcription Units;Regulatory Interactions;Transcription Factors	non-experimental 
EXP-CHIP-PCR-MANUAL	ChIP-PCR evidence used in manual assertion	4	WEAK	Regulatory Interactions	High-throughput binding 
EXP-IDA-BINDING-OF-PURIFIED-PROTEINS	Binding of purified proteins	2	STRONG	Regulatory Interactions;Transcription Factors	Classical binding 
EXP-IDA-PART-PURIFIED-PROTEIN-NH	Assay of protein partially-purified from its native host		WEAK	Transcription Factors	Classical experiment 
EXP-CHIP-PCR	ChIP-PCR evidence	4	WEAK	Regulatory Interactions	High-throughput binding 
EXP-IDA-PART-PURIFIED-PROTEIN-HH	Assay of protein partially-purified from a heterologous host		WEAK	Transcription Factors	Classical experiment 
EXP-HTP-HDA-NUC-ACID-BINDING-CHIP-SEQ	High-throughput ChIP-seq evidence	4	WEAK	Regulatory Interactions	High-throughput binding 
EXP-HTP-HDA-NUC-ACID-BINDING-CHIP-CHIP	High-throughput ChIP-chip evidence	4	WEAK	Regulatory Interactions	High-throughput binding 
EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS	Binding of cellular extracts	3	WEAK	Regulatory Interactions;Transcription Factors	Classical binding 
EXP-HTP-HDA-NUC-ACID-BINDING-CHIP-EXO	High-throughput ChIP-exo evidence	4	WEAK	Regulatory Interactions	High-throughput binding 
EXP-IDA-HPT-TRANSCR-INIT-M-RACE-MAP	High-throughput transcription initiation mapping	10	WEAK	Promoter	High-throughput protocol 
EXP-IDA-TRANSCRIPTION-INIT-MAPPING	Transcription initiation mapping	15	STRONG	Promoter	Classical experiment 
EXP-IDA-PART-PURIFIED-PROTEIN	Assay of partially-purified protein 		WEAK	Transcription Factors	Classical experiment 
EXP-IDA-UNPURIFIED-PROTEIN	Assay of unpurified protein 		WEAK	Transcription Factors	Classical experiment 
EXP-IDA-RNA-POLYMERASE-FOOTPRINTING	RNA polymerase footprinting	9	STRONG	Promoter	Classical experiment 
EXP-IDA-PURIFIED-PROTEIN	Assay of protein purified  to homogeneity		WEAK	Regulatory Interactions;Transcription Factors	Classical binding 
EXP-IDA-BOUNDARIES-DEFINED	Boundaries of transcription experimentally identified	14	WEAK	Transcription Units	Classical experiment 
EXP-HTP-HDA-NUC-ACID-BINDING	Nucleic acid binding evidence		WEAK	Regulatory Interactions	High-throughput protocol 
EXP-IDA-TRANSCRIPT-LEN-DETERMINATION	Length of transcript experimentally determined	11	STRONG	Transcription Units	Classical experiment 
EXP-TAS	Traceable author statement to experimental support		WEAK	Promoter;Transcription Units;Regulatory Interactions	non-experimental 
EXP-IGI	Inferred from genetic interaction		WEAK	Regulatory Interactions;Transcription Factors	Classical binding 
COMP-AINF-SEQ-ORTHOLOGY	Automated inference of function by sequence orthology		WEAK	Transcription Factors	non-experimental 
EXP-IMP	Inferred from mutant phenotype		WEAK	Promoter;Transcription Units;Regulatory Interactions;Transcription Factors	Classical binding 
EXP-IDA	Inferred from direct assay		WEAK	Promoter;Transcription Units;Regulatory Interactions;Transcription Factors	Classical binding 
EXP-IPI	Inferred from physical interaction		WEAK	Promoter;Regulatory Interactions;Transcription Factors	Classical experiment 
EXP-IEP	Inferred from expression pattern	8	WEAK	Promoter;Transcription Units;Regulatory Interactions;Transcription Factors	Classical expression 
EXP-HTP-HDA-NUC-ACID-BINDING	Inferred from high throughput direct assay		WEAK	Regulatory Interactions	High-throughput protocol 
HTP-HEP	Inferred from high throughput expression pattern		WEAK	Transcription Units	High-throughput protocol 
AS-TAS	Traceable author statement		WEAK	Promoter;Transcription Units;Regulatory Interactions	non-experimental 
AS-HYPO	Author hypothesis		WEAK	Promoter;Transcription Units;Regulatory Interactions	non-experimental 
AS-NAS	Non-traceable author statement		WEAK	Promoter;Transcription Units;Regulatory Interactions	non-experimental 
EXP-CHIP-CHIP-MANUAL	ChIP-chip evidence used in manual assertion	4	WEAK	Regulatory Interactions	High-throughput binding 
EXP-IDA-IN-VITRO-TRANSCRIPTION	in vitro transcription reconstitution assay evidence	8	WEAK	Promoter	Classical expression 
EXP-IDA-TRANSCRIPTION-INIT-MAPPING-PRIMER-EXTENSION-TSS	Primer extension assay for transcription start site determination	15		Promoter	 
EXP-IDA-TRANSCRIPT-LEN-DETERMINATION-NORTHERN	Northern blot for transcription unit length determination evidence	11		Transcription Units	 
EXP-IEP-RTPCR	Reverse transcription polymerase chain reaction evidence	8	WEAK	Transcription Units;Regulatory Interactions	Classical expression 
EXP-IEP-NORTHERN	Northern blot for expression pattern analysis evidence	8	WEAK	Promoter;Regulatory Interactions	Classical expression 
EXP-IEP-PRIMER-EXTENSION-FOR-EXPRESSION	Primer extension assay evidence for expression pattern analysis	8	WEAK	Regulatory Interactions	Classical expression 
EXP-HTP-HDA-NUC-ACID-BINDING-DAP-SEQ	High-throughput DNA affinity purification (DA sequencing	6	WEAK	Regulatory Interactions	High-throughput binding 
EXP-IEP-GFP	Green fluorescent protein reporter gene assay evidence	8	WEAK	Regulatory Interactions	Classical expression 
EXP-IEP-BETA-GAL	Beta-galactosidase reporter gene assay evidence	8	WEAK	Regulatory Interactions;Transcription Factors	Classical expression 
EXP-IEP-QRTPCR	Quantitative reverse transcription polymerase chain reaction evidence	8	WEAK	Regulatory Interactions	Classical expression 
EXP-HTP-HDA-NUC-ACID-BINDING-3D-SEQ	High-throughput 3D-seq DNA-protein interaction mapping evidence		WEAK	Regulatory Interactions	High-throughput binding 
EXP-IEP-LUCIFERASE	Luciferase reporter gene assay evidence	8	WEAK	Regulatory Interactions	Classical expression 
EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS-EMSA	Electrophoretic mobility shift assay with cellular extracts evidence	3	WEAK	Regulatory Interactions	Classical binding 
EXP-IDA-BINDING-OF-PURIFIED-PROTEINS-DNASE-FOOTPRINTING	DNAse footprinting evidence	2	STRONG	Regulatory Interactions	Classical binding 
EXP-IDA-BINDING-OF-PURIFIED-PROTEINS-EMSA	Electrophoretic mobility shift assay with purified protein evidence	2	STRONG	Regulatory Interactions;Transcription Factors	Classical binding
